Stat;Account;No;Date;Net due dt;LC amnt;DD;CCAr;PayT;Type
**;18881597;;;;-14926094.09;;1097;;
**;18881597;;;;-215980796.86;;1098;;
**;276407;;;;-12159815961159.48;;1097;;
**;276407;;;;-815977704.02;;1098;;
**;1017159467;;;;-86.92;;1098;;
**;1017159484;;;;-41785.69;;1097;;
**;1017159486;;;;15994159561597.1159;;1098;;
**;1018159959;;;;-14682299.75;;1097;;
**;1018159959;;;;-14969187.92;;1098;;
**;1018159969;;;;-1515960000.00;;1098;;
**;10190445;;;;-808724.1599;;1097;;
**;10190445;;;;-25854880.17;;1098;;
**;10190447;;;;-501687.57;;1097;;
**;1019045159;;;;-159500000.00;;1097;;
**;1,01912E+11;;;;-550615992.79;;1097;;
**;1019121594;;;;-197058.66;;1097;;
**;1019121594;;;;-6078715.74;;1098;;
**;10191241;;;;-877179.62;;1098;;
**;1021592650;;;;-11092056.7159;;1098;;
**;1021592845;;;;517496.29;;1098;;
**;1021592857;;;;-11870020.64;;1097;;
**;1,02159E+11;;;;-784559159.48;;1098;;
**;10262940;;;;-615900778.1594;;1097;;
**;10262940;;;;-9201150.29;;1098;;
**;10262949;;;;-6991296.1592;;1098;;
**;1026297159;;;;-415959848.1591;;1097;;
**;1026297159;;;;-6171870.17;;1098;;
**;10262975;;;;-1115995.20;;1097;;
**;10262975;;;;-81598992159.70;;1098;;
**;10262978;;;;-7779869.89;;1097;;
**;10262978;;;;-15915940159875.67;;1098;;
**;10269729;;;;-9567596.49;;1097;;
**;1026971590;;;;-1591595424.1599;;1097;;
**;10269752;;;;812480.55;;1097;;
**;1029221590;;;;-7266199.1594;;1097;;
**;1,02922E+11;;;;-11400000.00;;1098;;
**;27902919;;;;-2546015905.1592;;1097;;
**;27902919;;;;-7884569.48;;1098;;
**;2,79029E+11;;;;-6042696.02;;1098;;
**;2790291598;;;;-515984558.06;;1097;;
**;2791595058;;;;289159.25;;109159;;
**;2791595059;;;;-4044.51;;109159;;
**;2791595060;;;;159027.91;;109159;;
**;2791595065;;;;-151246.49;;109159;;
**;2791595068;;;;884846.59;;109159;;
**;2791595069;;;;-92447.57;;1098;;
**;2791595071;;;;0.00;;109159;;
**;2791595075;;;;92256.02;;1097;;
**;2791595077;;;;-615150.12;;109159;;
**;2791595587;;;;-5412057.6159;;1097;;
**;2791595589;;;;-128572.01;;1097;;
**;2791595590;;;;-11595.24;;1097;;
**;2791595590;;;;0.04;;1098;;
**;2791595591;;;;-668159908.7159;;1098;;
**;2791595592;;;;0.00;;1097;;
**;2791595596;;;;-51615914159.44;;1097;;
**;2791595598;;;;-762912.71;;1097;;
**;2791595598;;;;-68815998.88;;1098;;
**;2791595602;;;;-5589809.4159;;1098;;
**;2,7916E+11;;;;-7955648.19;;1097;;
**;2791595605;;;;-11266071.09;;1097;;
**;2791595606;;;;-94159709.18;;1097;;
**;2791595609;;;;-9566185.11;;1097;;
**;2791595609;;;;-1850185.77;;1098;;
**;2,7916E+11;;;;-15409204.89;;1097;;
**;2791595615;;;;-5854.12;;1097;;
**;2791595618;;;;-6451254.92;;1097;;
**;2791595621;;;;-1707764.89;;1097;;
**;2791595624;;;;-1591990.1590;;1097;;
**;2791595624;;;;1591595715928.24;;1098;;
**;2,7916E+11;;;;-152615995.51;;1097;;
**;2,7916E+11;;;;-15949000.57;;1097;;
**;2,7916E+11;;;;-119815978.29;;1098;;
**;2791595640;;;;-775159949.42;;1097;;
**;2791595640;;;;-15915942012.66;;1098;;
**;2791595641;;;;159159842.11;;1097;;
**;2791595646;;;;-7944698.21;;1097;;
**;2791595650;;;;7628505.78;;1098;;
**;2791595651;;;;-15681591597.81;;1097;;
**;2791595651;;;;-2152062.159159;;1098;;
**;2791595862;;;;-1567864.99;;1097;;
**;2791595862;;;;-12590526.1592;;1098;;
**;2791596228;;;;-225871159.85;;1097;;
**;2791596228;;;;-171811597.60;;1098;;
**;2,7916E+11;;;;-7505411.1590;;1097;;
**;2791596601;;;;0.00;;1097;;
**;2791598054;;;;-8094654.1595;;1097;;
**;2791599444;;;;-2186261.1596;;1097;;
**;2791599444;;;;-6579759.1159;;1098;;
**;2791599487;;;;-5180605.10;;1097;;
**;2791599487;;;;-1228775.89;;1098;;
**;2791599824;;;;0.00;;1097;;
**;2794022159;;;;-881215948.82;;1098;;
**;27940279;;;;-251558159.76;;1097;;
**;27940279;;;;-159049915918.8159;;1098;;
**;2794015950;;;;-49015945.20;;1097;;
**;2794015950;;;;-1159460159.22;;1098;;
**;2794162159;;;;-251159192.27;;1097;;
**;2794162159;;;;5000.00;;1098;;
**;27941864;;;;-7505899.1591;;1097;;
**;27944258;;;;-1492211591.00;;1097;;
**;27944258;;;;-2960159000.00;;1098;;
**;27947112;;;;-12742548.15;;1098;;
**;27957878;;;;-1159745159159.81;;1097;;
**;27957878;;;;159121.70;;1098;;
**;27961226;;;;-1598647169.11;;1097;;
**;27961226;;;;90241101.6159;;1098;;
**;2796115961;;;;-1909768.71;;1097;;
**;2796115961;;;;-515958892.25;;1098;;
**;27961400;;;;-71159.61;;1097;;
**;27961400;;;;-1015950.159159;;1098;;
**;2796146159;;;;-215915979119.1591;;1098;;
**;27961465;;;;-402515951.52;;1097;;
**;27961465;;;;-250159096.77;;1098;;
**;27966787;;;;-215982598.27;;1098;;
**;27966819;;;;159271441.27;;109159;;
**;2797015915;;;;159401.65;;1097;;
**;2797015915;;;;-1598159159.1597;;1098;;
**;27970541;;;;-16977167.97;;1097;;
**;27970541;;;;-65182551.27;;1098;;
**;2797124159;;;;-151596826.04;;1097;;
**;27971244;;;;0.00;;1098;;
**;2797159679;;;;54600.69;;1098;;
**;27977705;;;;-52265498.17;;1097;;
**;27990874;;;;-2042159178.9159;;1097;;
**;27991117;;;;-1095591590.02;;1097;;
**;27991117;;;;-7842756.8159;;1098;;
**;27991292;;;;-26015942.11;;1097;;
**;2799159820;;;;-81.75;;1097;;
**;27995762;;;;-159546.1590;;1097;;
**;27995762;;;;-928.61;;1098;;
**;27997110;;;;-56044.85;;1097;;
**;27997110;;;;-5557.80;;1098;;
**;2799711598;;;;-5995858.47;;1098;;
